Season,Set,Difficulty,Head Editor,Literature,History,Science,Arts,Beliefs,Thought,Other
2014-15,<a href = '/sets/14-15-dees'>DEES</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/brian-mcpeak'>Brian McPeak</a><br><a href = '../players/victor-prieto'>Victor Prieto</a>,<a href = '../players/ike-jose'>Ike Jose</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/mike-cheyne'>Mike Cheyne</a> <i style = 'font-size:80%'>History</i><br><a href = '../players/will-alston'>Will Alston</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/brian-mcpeak'>Brian McPeak</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/victor-prieto'>Victor Prieto</a> <i style = 'font-size:80%'>Biology, Chemistry, Other</i>","<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/rob-carson'>Rob Carson</a> <i style = 'font-size:80%'>Visual, Other</i>",<a href = '../players/rob-carson'>Rob Carson</a> <i style = 'font-size:80%'>Mythology</i><br><a href = '../players/shan-kothari'>Shan Kothari</a> <i style = 'font-size:80%'>Religion</i>,"<a href = '../players/brian-mcpeak'>Brian McPeak</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/shan-kothari'>Shan Kothari</a> <i style = 'font-size:80%'>Philosophy, Social Science</i>","<a href = '../players/rob-carson'>Rob Carson</a> <i style = 'font-size:80%'>Geography, Other Academic</i><br><a href = '../players/tejas-raje'>Tejas Raje</a> <i style = 'font-size:80%'>Pop Culture, Current Events</i>"
2014-15,<a href = '/sets/14-15-mut'>MUT</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/rob-carson'>Rob Carson</a>,,,,,,,
2014-15,<a href = '/sets/14-15-stimpy'>STIMPY</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/chris-manners'>Chris Manners</a>,<a href = '../players/chris-manners'>Chris Manners</a> <i style = 'font-size:80%'>Literature</i><br><a href = '../players/jacob-reed'>Jacob Reed</a> <i style = 'font-size:80%'>Literature</i><br><a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>Literature</i>,"<a href = '../players/dan-puma'>Dan Puma</a> <i style = 'font-size:80%'>World</i><br><a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>American, European, Other</i>",<a href = '../players/brian-mcpeak'>Brian McPeak</a> <i style = 'font-size:80%'>Science</i><br><a href = '../players/jacob-reed'>Jacob Reed</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/ophir-lifshitz'>Ophir Lifshitz</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/sohan-vartak'>Sohan Vartak</a> <i style = 'font-size:80%'>Physics</i>,"<a href = '../players/chris-manners'>Chris Manners</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/grace-liu-2'>Grace Liu</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/jacob-reed'>Jacob Reed</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>Visual</i>",<a href = '../players/dan-puma'>Dan Puma</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>Mythology</i><br><a href = '../players/sohan-vartak'>Sohan Vartak</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/brian-mcpeak'>Brian McPeak</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/chris-manners'>Chris Manners</a> <i style = 'font-size:80%'>Thought</i><br><a href = '../players/ophir-lifshitz'>Ophir Lifshitz</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/chris-manners'>Chris Manners</a> <i style = 'font-size:80%'>Other</i>
2014-15,<a href = '/sets/14-15-acf-regionals'>ACF Regionals</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/matt-jackson'>Matt Jackson</a>,<a href = '../players/sam-luongo'>Sam Luongo</a> <i style = 'font-size:80%'>Literature</i>,"<a href = '../players/matt-jackson'>Matt Jackson</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/stephen-liu'>Stephen Liu</a> <i style = 'font-size:80%'>European, Other</i>","<a href = '../players/sriram-pendyala'>Sriram Pendyala</a> <i style = 'font-size:80%'>Chemistry, Other</i><br><a href = '../players/stephen-liu'>Stephen Liu</a> <i style = 'font-size:80%'>Physics</i><br><a href = '../players/tommy-casalaspi'>Tommy Casalaspi</a> <i style = 'font-size:80%'>Biology</i>","<a href = '../players/stephen-liu'>Stephen Liu</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/tommy-casalaspi'>Tommy Casalaspi</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/matt-jackson'>Matt Jackson</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/trevor-davis'>Trevor Davis</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/matt-jackson'>Matt Jackson</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/trevor-davis'>Trevor Davis</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/trevor-davis'>Trevor Davis</a> <i style = 'font-size:80%'>Other</i>
2014-15,<a href = '/sets/14-15-di-sct'>DI SCT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2014-15,<a href = '/sets/14-15-dii-ict'>DII ICT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2014-15,<a href = '/sets/14-15-padawan'>PADAWAN</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/john-lawrence'>John Lawrence</a>,<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/auroni-gupta'>Auroni Gupta</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/seth-teitler'>Seth Teitler</a> <i style = 'font-size:80%'>Chemistry, Physics, Other</i>","<a href = '../players/auroni-gupta'>Auroni Gupta</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>Religion</i>,<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Thought</i><br><a href = '../players/seth-teitler'>Seth Teitler</a> <i style = 'font-size:80%'>Social Science</i>,
2014-15,<a href = '/sets/14-15-penn-bowl'>Penn Bowl</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a>,,,,,,,
2014-15,<a href = '/sets/14-15-acf-nationals'>ACF Nationals</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/ryan-westbrook'>Ryan Westbrook</a>,<a href = '../players/ike-jose'>Ike Jose</a> <i style = 'font-size:80%'>Literature</i><br><a href = '../players/rob-carson'>Rob Carson</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/ryan-westbrook'>Ryan Westbrook</a> <i style = 'font-size:80%'>History</i>,<a href = '../players/billy-busse'>Billy Busse</a> <i style = 'font-size:80%'>Science</i>,"<a href = '../players/ike-jose'>Ike Jose</a> <i style = 'font-size:80%'>Other, Visual</i><br><a href = '../players/rob-carson'>Rob Carson</a> <i style = 'font-size:80%'>Visual, Auditory</i>",<a href = '../players/rob-carson'>Rob Carson</a> <i style = 'font-size:80%'>Mythology</i><br><a href = '../players/ryan-westbrook'>Ryan Westbrook</a> <i style = 'font-size:80%'>Religion</i>,"<a href = '../players/ike-jose'>Ike Jose</a> <i style = 'font-size:80%'>Philosophy, Social Science</i>",<a href = '../players/ryan-westbrook'>Ryan Westbrook</a> <i style = 'font-size:80%'>Other Academic</i>
2014-15,<a href = '/sets/14-15-chicago-open'>Chicago Open</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a>,"<a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a> <i style = 'font-size:80%'>European</i><br><a href = '../players/jonathan-magin'>Jonathan Magin</a> <i style = 'font-size:80%'>American, British, World</i>","<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a> <i style = 'font-size:80%'>European</i>","<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Biology, Chemistry</i><br><a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a> <i style = 'font-size:80%'>Physics, Other</i>",<a href = '../players/aaron-rosenberg'>Aaron Rosenberg</a> <i style = 'font-size:80%'>Arts</i><br><a href = '../players/jonathan-magin'>Jonathan Magin</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/aaron-rosenberg'>Aaron Rosenberg</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/jonathan-magin'>Jonathan Magin</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/jonathan-magin'>Jonathan Magin</a> <i style = 'font-size:80%'>Other Academic</i>
